title_num,title_opt,url,imgUrl,year,artist,material,scale,title
11,구두신은-새,http://gmoma.ggcf.kr/archives/artwork/%EA%B5%AC%EB%91%90%EC%8B%A0%EC%9D%80-%EC%83%88,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m%2BAvbDeh9wbQZyzEz%2Fnsm5S6NC8kkjG8tp%2BLmk0BAGq2w%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2006","<strong class="theme-key-color">작가(출처)/</strong> 류준화/Ryu Jun Hwa","<strong class="theme-key-color">재질/</strong> 면천위에 석회, 아크릴릭, 콘테/Lime powder, Acrylic, Conte on Cotton","<strong class="theme-key-color">규격/</strong> 50*50cm","구두신은 새/The bird put on shoes"
12,벽제의-밤-개,http://gmoma.ggcf.kr/archives/artwork/%EB%B2%BD%EC%A0%9C%EC%9D%98-%EB%B0%A4-%EA%B0%9C,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m%2FPusUSe5vnM1JueBS0Ot0RepxHQr9IFo8kniAwblcjCQ%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2003","<strong class="theme-key-color">작가(출처)/</strong> 공성훈/Gong Sung Hoon","<strong class="theme-key-color">재질/</strong> 캔버스에 아크릴 채색/Acrylic on canvas","<strong class="theme-key-color">규격/</strong> 130*162cm","벽제의 밤 – 개/Beokje night – The Dog"
13,정토,http://gmoma.ggcf.kr/archives/artwork/%EC%A0%95%ED%86%A0,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m%2F8J6K7OYGXNZRrCcCeb2z1J787Zt9qFDVjcJD0%2Bma6og%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2002","<strong class="theme-key-color">작가(출처)/</strong> 류민자/Ryu Min Ja","<strong class="theme-key-color">재질/</strong> 한지에 채색/Color on korean paper","<strong class="theme-key-color">규격/</strong> 180.5*300cm","정토/Buddhist Paradise"
14,홍익인간,http://gmoma.ggcf.kr/archives/artwork/%ED%99%8D%EC%9D%B5%EC%9D%B8%EA%B0%84,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m%2FPo%2FazOWdsmM32x9sfQLkZ705vq0V5Wb16SNXBg4eRrQ%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2007","<strong class="theme-key-color">작가(출처)/</strong> 이부록 / Lee Boorok","<strong class="theme-key-color">재질/</strong> 디지털 C프린트 / Digital C-print","<strong class="theme-key-color">규격/</strong> 100x200cm","홍익인간 / Hongikingan"
15,기억,http://gmoma.ggcf.kr/archives/artwork/%EA%B8%B0%EC%96%B5,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m9Ind%2F5W3BUCvqGKSosci5V6Hy9V3eAFZM4M9EoVOpKzQ%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2005","<strong class="theme-key-color">작가(출처)/</strong> 신원재/Shin Won Jae","<strong class="theme-key-color">재질/</strong> 나무(접합가공)/Wood (Joining process)","<strong class="theme-key-color">규격/</strong> 100*250*140cm","기억상실/Loss of memory"
16,still-life-돌구름,http://gmoma.ggcf.kr/archives/artwork/still-life-%EB%8F%8C%EA%B5%AC%EB%A6%84,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m8zLpI%2FIXz2uVPiKH%2FB7CvRWIjBeQlWqYBZ8K2vgzs5Mg%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2007","<strong class="theme-key-color">작가(출처)/</strong> 유현미/Yoo Hyun Mi","<strong class="theme-key-color">재질/</strong> C프린트 / C-print","<strong class="theme-key-color">규격/</strong> 150*120","Still Life-돌구름/Still Life-Stone cloud"
17,무제-4-hidden,http://gmoma.ggcf.kr/archives/artwork/%EB%AC%B4%EC%A0%9C-4-hidden,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m8%2B1dmBblqNGjLK%2FysSQVE7v0oprm1HnJkA9ok%2FrX0pww%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2003","<strong class="theme-key-color">작가(출처)/</strong> 박형근/Park Hyung Geun","<strong class="theme-key-color">재질/</strong> C타입 라이트 젯 프린트 / C-type Light-jet Print","<strong class="theme-key-color">규격/</strong> 100x125cm","무제 # 4 – Hidden / Untitled  # 4 – Hidden"
18,종이부인,http://gmoma.ggcf.kr/archives/artwork/%EC%A2%85%EC%9D%B4%EB%B6%80%EC%9D%B8,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m%2FEiTtXVa9tB95fjJrvjL%2FCsCAsTf8fH%2Bt2SQDptArH7A%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2004","<strong class="theme-key-color">작가(출처)/</strong> 정종미/Jung Jong Mee","<strong class="theme-key-color">재질/</strong> 한지 염료/Dye on Korean paper","<strong class="theme-key-color">규격/</strong> 185*82cm","종이부인/Mrs. Paper"
19,저-너머,http://gmoma.ggcf.kr/archives/artwork/%EC%A0%80-%EB%84%88%EB%A8%B8,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m8c3wA2oQqZa28yaNxS2h67k1gVfoCvHU7%2BMNut7n2BKA%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2004","<strong class="theme-key-color">작가(출처)/</strong> 이재삼/Lee Jae Sam","<strong class="theme-key-color">재질/</strong> 캔버스위에 목탄/Charcoal on canvas","<strong class="theme-key-color">규격/</strong> 324*130cm","저 너머/Beyond there"
20,Slow-same-21015,http://gmoma.ggcf.kr/archives/artwork/slow-same-21015,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m%2FM95Qh92%2BtwhQs9z8s50R%2F7XGqbiWs7JYgUJbpU35LMg%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2003","<strong class="theme-key-color">작가(출처)/</strong> 문범 / Moon Beom","<strong class="theme-key-color">재질/</strong> 캔버스에 아크릴릭, 오일스틱 / Acrylics, Oilstick on Canvas","<strong class="theme-key-color">규격/</strong> 259x194cm","slow, same, #21015"
